Water boils at 100°C at sea level,True
Lightning never strikes the same place twice,False
Humans only use 10% of their brains,False
Sound travels faster than light,False
The mitochondria is the powerhouse of the cell,True
Goldfish have a 3-second memory,False
Electrons are larger than protons,False
Plants produce oxygen during photosynthesis,True
Gravity on the Moon is about 1/6th of Earth's gravity,True
Antibiotics are effective against viral infections,False
Water is made up of two hydrogen atoms and one oxygen atom,True
The human body has 206 bones,True
Cold weather can give you a cold,False
Diamond is the hardest natural substance,True
Evolution is "just a theory" meaning it's unproven,False
Acids have a pH greater than 7,False
The closest star to Earth is the Sun,True
Blood in your veins is blue before it touches oxygen,False
Vaccines cause autism,False
Energy cannot be created or destroyed only transformed,True